prompt_No,answer
1,18
2,3
3,70000
4,540
5,20
6,64
7,260
8,160
9,45
10,460
11,366
12,694
13,13
14,18
15,60
16,125
17,230
18,57500
19,7
20,6
21,15
22,14
23,7
24,8
25,26
26,2
27,243
28,16
29,25
30,104
31,109
32,80
33,35
34,70
35,23
36,9
37,75
38,2
39,10
40,18
41,8
42,200
43,26
44,48
45,20
46,104
47,163
48,800
49,8
50,30
51,294
52,5
53,15
54,40
55,40
56,14
57,3
58,83
59,57
60,187
61,17
62,1430
63,25000
64,1596
65,300
66,36
67,48
68,595
69,36
70,60
71,7425
72,60
73,221
74,255
75,88
76,60
77,5
78,100
79,6
80,70
81,10
82,17
83,623
84,600
85,15
86,44
87,22
88,9360
89,8000
90,24
91,225
92,28
93,4
94,36
95,348
96,40
97,3
98,12
99,5
100,58
101,175
102,6
103,26
104,140
105,500
106,20
107,72
108,3
109,50
110,28
111,45
112,16
113,24
114,25
115,6
116,90
117,42
118,360
119,4
120,95200
121,240
122,27
123,48
124,50
125,10
126,10
127,82
128,120
129,880
130,10000
131,30
132,940
133,60
134,13
135,720
136,40
137,6
138,29
139,105
140,70
141,20
142,400
143,140
144,16
145,20
146,4000
147,2125
148,75
149,30
150,16
151,4
152,5
153,4
154,48
155,272
156,280
157,1400
158,80
159,34
160,15
161,16
162,32
163,92
164,50
165,15
166,77
167,5
168,16
169,18
170,120
171,150
172,1210
173,51
174,18000
175,95
176,15
177,100
178,350
179,122
180,130
181,20
182,160
183,23
184,2
185,25
186,30
187,5
188,106
189,50
190,34
191,360
192,5
193,91
194,24
195,10
196,12
197,120
198,6277
199,320
200,7500
201,55
202,114200
203,100
204,31
205,98
206,98
207,860
208,2600
209,76
210,145
211,10
212,4
213,5
214,250
215,8
216,44
217,220
218,15
219,45
220,54
221,70
222,90
223,140
224,20000
225,180
226,9
227,33
228,9
229,1
230,21
231,276000
232,50
233,75
234,12
235,21
236,10
237,31
238,90
239,68
240,280
241,21
242,6
243,3
244,250
245,20
246,7
247,27000
248,32
249,300
250,5600
251,17
252,70
253,73
254,18
255,84
256,192
257,45
258,5600
259,6
260,168
261,11
262,62
263,270
264,8
265,400
266,9500
267,118000
268,91
269,1375
270,4
271,762
272,20
273,5
274,315
275,3200
276,138
277,9
278,4
279,40
280,6
281,7
282,2450
283,195
284,68
285,360
286,21
287,90
288,8
289,3
290,16
291,390
292,2
293,75
294,83
295,3
296,370
297,3
298,55
299,500
300,31800
301,78
302,8
303,15
304,1300
305,3200
306,4
307,10
308,16
309,6
310,8
311,2050
312,91
313,32
314,120000
315,30
316,14
317,156
318,12
319,123
320,15
321,8
322,1
323,9
324,75
325,14
326,224000
327,14
328,31
329,2
330,14
331,31
332,8400
333,44
334,100
335,6
336,310
337,72
338,1
339,60
340,160
341,4
342,260
343,87
344,180000
345,2
346,310
347,9
348,36
349,10
350,2640
351,8
352,10
353,21
354,20
355,45
356,34
357,21
358,2
359,20
360,4
361,25
362,20
363,23
364,6
365,49
366,18
367,9
368,19
369,18
370,1198
371,320
372,50
373,5
374,240000
375,45
376,48
377,15
378,50
379,15
380,21
381,803
382,67
383,350
384,2
385,32
386,16
387,80
388,36
389,88
390,6
391,12
392,15
393,34
394,20
395,92
396,38
397,3
398,25
399,168
400,12
401,48
402,14400
403,4
404,81
405,22
406,50
407,200
408,2000
409,20
410,168000
411,3
412,1110
413,5
414,25
415,56
416,350
417,56
418,3140
419,40
420,3000
421,17000
422,12
423,284
424,8
425,570
426,150
427,11
428,150
429,26
430,13
431,132
432,1
433,30
434,6
435,5
436,5
437,15
438,7
439,2
440,17
441,98
442,80
443,49
444,59
445,20
446,6
447,2
448,5
449,539
450,112
451,4
452,11050
453,50
454,6400
455,150
456,1920
457,78
458,45
459,35
460,2
461,84
462,9
463,71
464,18
465,6
466,30
467,1
468,1200
469,120
470,4
471,3
472,80
473,6
474,10
475,80
476,20
477,5
478,20
479,621
480,15400
481,11
482,84
483,26
484,40
485,240
486,220
487,6
488,4
489,6
490,-10
491,4
492,16
493,32
494,25
495,21
496,200
497,38
498,112
499,40
500,10
501,16
502,273
503,26
504,18
505,2
506,1600
507,144
508,2
509,120
510,4
511,525
512,110
513,120
514,300
515,90000
516,160
517,375
518,18
519,32
520,280
521,63
522,39
523,29
524,74
525,9
526,12
527,21
528,48
529,172
530,11
531,36
532,66
533,25
534,300
535,300
536,16
537,8
538,188
539,18
540,35
541,39
542,50
543,7
544,6
545,80
546,30
547,130
548,81
549,100
550,398
551,27
552,17
553,450
554,92
555,54
556,2
557,160
558,70
559,3
560,16
561,45
562,180
563,82
564,12
565,240
566,5
567,10
568,9
569,175
570,21
571,23
572,308
573,100
574,600
575,37
576,36
577,11232
578,40
579,48
580,7
581,500
582,215
583,129200
584,120
585,2
586,40
587,800
588,30
589,52
590,15
591,319
592,220
593,1
594,3
595,42
596,13
597,260
598,90
599,69
600,48
601,10
602,104
603,5
604,1800
605,12
606,42
607,6
608,10
609,8
610,7
611,65960
612,1450000
613,30
614,93000
615,312
616,33
617,10
618,5
619,36
620,76
621,1509
622,3000
623,7
624,8
625,85
626,160
627,72
628,54
629,4
630,17500
631,10
632,4800
633,45
634,5
635,14
636,4
637,1050
638,17
639,12
640,216
641,43500
642,262500
643,10800
644,840
645,29
646,48
647,79
648,10
649,54
650,162000
651,142
652,2100
653,75
654,80
655,2
656,10
657,10
658,330000
659,120
660,3
661,15
662,44
663,7
664,193
665,32
666,360
667,120
668,53
669,3
670,132
671,4
672,4
673,2
674,9
675,12
676,33
677,240
678,36
679,120
680,576
681,20
682,298
683,80
684,50
685,11
686,14
687,80
688,13
689,100
690,7
691,5760
692,25
693,32
694,68
695,9
696,5
697,145
698,27
699,720
700,8
701,135
702,200
703,2800
704,50
705,50
706,120
707,9
708,8
709,168
710,3000
711,45
712,6
713,14
714,576
715,10
716,385000
717,770
718,5
719,2
720,175
721,4
722,2450
723,255
724,160
725,18
726,25
727,10
728,112
729,40
730,1000
731,8
732,1
733,87
734,5
735,17
736,50
737,3
738,2
739,4
740,98
741,25
742,28
743,24
744,8
745,4
746,1100
747,28
748,350
749,336
750,3
751,4000
752,43
753,240
754,128
755,89
756,7
757,22
758,75
759,133
760,60000
761,16
762,27
763,85
764,100
765,14
766,490
767,12
768,60
769,675
770,110
771,4
772,3
773,50
774,10
775,10
776,276
777,800
778,4400
779,38
780,255
781,25
782,17
783,54
784,4
785,15
786,155
787,142
788,25
789,100
790,4
791,108
792,100
793,75
794,250
795,32
796,20
797,2880000
798,540
799,20
800,4
801,428
802,1240
803,6
804,9
805,20
806,1170
807,70
808,4
809,12
810,50
811,310
812,60
813,79
814,7
815,11
816,4
817,4500
818,15
819,16
820,6250
821,720
822,35
823,1260
824,14
825,52
826,153
827,27
828,11
829,60
830,14000
831,1128
832,324
833,42
834,40
835,80
836,48
837,140
838,120
839,15
840,2
841,16
842,5600
843,10
844,19
845,180
846,12
847,11
848,975
849,10
850,75
851,70
852,110
853,123
854,15
855,144
856,13
857,7
858,14000
859,3430
860,1520
861,3
862,30
863,40
864,110
865,80
866,23
867,28
868,7
869,15
870,500
871,40
872,48
873,13
874,12
875,132
876,60
877,41
878,7000
879,5
880,575
881,10
882,16
883,5
884,25
885,50
886,500
887,20
888,34
889,10
890,15
891,25
892,55
